quarter,manufacturer,registrations,lag_q,lag_y,qoq_pct,yoy_pct
2024-04-01,Malkit Agro Tech Pvt. Ltd,233,517.0,1212.0,-54.93,-80.78
2024-04-01,Simpleenergy Pvt Ltd,230,708.0,30.0,-67.51,666.67
2024-04-01,Preet Agro Industries Pvt Ltd,230,420.0,1002.0,-45.24,-77.05
2024-04-01,Tufan Motors Pvt Ltd,227,522.0,633.0,-56.51,-64.14
2024-04-01,A P I Motors Pvt Ltd,225,372.0,1023.0,-39.52,-78.01
2024-04-01,Trishika Industries,222,394.0,1268.0,-43.65,-82.49
2024-04-01,Rutba Product Pvt Ltd,222,340.0,333.0,-34.71,-33.33
2024-04-01,Qianjiang-Keeway (Importer: Adishwar Auto),221,321.0,562.0,-31.15,-60.68
2024-04-01,Rds Industries,216,2.0,,10700.0,
2024-04-01,Hop Electric Mobility Pvt Ltd,215,234.0,304.0,-8.12,-29.28
2024-04-01,Continental Engines Pvt Ltd,213,967.0,3766.0,-77.97,-94.34
2024-04-01,Kgn Industries,209,421.0,241.0,-50.36,-13.28
2024-04-01,Manitou Equipment India Pvt Ltd,209,325.0,357.0,-35.69,-41.46
2024-04-01,Rowwet Mobility Pvt Ltd,208,222.0,45.0,-6.31,362.22
2024-04-01,Volvo Ce India Private Limited,207,311.0,438.0,-33.44,-52.74
2024-04-01,Olectra Greentech Ltd,204,274.0,252.0,-25.55,-19.05
2024-04-01,Tirth Agro Technology Pvt Ltd,200,134.0,429.0,49.25,-53.38
2024-04-01,Shalya Auto Sales Pvt Ltd,200,364.0,472.0,-45.05,-57.63
2024-04-01,Jitendra New Ev-Tech Pvt. Ltd,200,1052.0,2539.0,-80.99,-92.12
2024-04-01,Blue Energy Commercial Vehicles Pvt. Ltd.,200,155.0,138.0,29.03,44.93
2024-04-01,Twinkle Tradcom Pvt Ltd,198,469.0,1345.0,-57.78,-85.28
2024-04-01,Fede Industries Pvt Ltd,196,394.0,693.0,-50.25,-71.72
2024-04-01,Aman Electric Vehicles,196,286.0,45.0,-31.47,335.56
2024-04-01,Samrat Electric Vehicle,193,385.0,445.0,-49.87,-56.63
2024-04-01,Ceeon India,189,415.0,691.0,-54.46,-72.65
2024-04-01,Royce Ev Pvt Ltd,188,114.0,,64.91,
2024-04-01,Audi Ag,187,366.0,1333.0,-48.91,-85.97
2024-04-01,A K Gupta & Co.,184,326.0,435.0,-43.56,-57.7
2024-04-01,Pride E-Motors,177,426.0,429.0,-58.45,-58.74
2024-04-01,Needle Eye Plastic Industries Pvt Ltd,176,339.0,534.0,-48.08,-67.04
2024-04-01,Same Deutz - Fahr India (P) Ltd.,173,384.0,966.0,-54.95,-82.09
2024-04-01,Star Iglobal Automotive Pvt Ltd,171,319.0,329.0,-46.39,-48.02
2024-04-01,E-Motion Automotive Industry Llp,170,242.0,352.0,-29.75,-51.7
2024-04-01,Tata Advanced Systems Ltd,170,566.0,275.0,-69.96,-38.18
2024-04-01,Jitendra Tempo Parts,166,272.0,474.0,-38.97,-64.98
2024-04-01,E-Guru Auto Energy,165,137.0,30.0,20.44,450.0
2024-04-01,Apm Auto Sales,162,296.0,573.0,-45.27,-71.73
2024-04-01,Jaisik Business Links Pvt Ltd,162,286.0,429.0,-43.36,-62.24
2024-04-01,Supreme Smart Power Pvt Ltd,161,260.0,455.0,-38.08,-64.62
2024-04-01,Ins Automobiles Pvt Ltd,160,,,,
2024-04-01,Lawat Motors Llp,159,394.0,479.0,-59.64,-66.81
2024-04-01,Accretion Power Autos,158,284.0,462.0,-44.37,-65.8
2024-04-01,Sany Heavy Industry India Pvt Ltd,157,247.0,240.0,-36.44,-34.58
2024-04-01,Green Technologies,157,126.0,101.0,24.6,55.45
2024-04-01,Chehak Batteries,154,140.0,162.0,10.0,-4.94
2024-04-01,Singh Automobiles,154,278.0,234.0,-44.6,-34.19
2024-04-01,Hop Motors Pvt Ltd,153,414.0,639.0,-63.04,-76.06
2024-04-01,Lionize Automobile Pvt Ltd,152,188.0,,-19.15,
2024-04-01,Him Teknoforge Ltd,151,284.0,444.0,-46.83,-65.99
2024-04-01,Maa Kalpana Enterprise,150,194.0,72.0,-22.68,108.33
2024-04-01,Ve Commercial Vehicles Ltd (Volvo Buses Division),150,250.0,216.0,-40.0,-30.56
2024-04-01,Kalpvriksh Electomobiles Co,150,170.0,96.0,-11.76,56.25
2024-04-01,Momu Automotive,146,58.0,,151.72,
2024-04-01,Pooshpak Automobiles Pvt Ltd,141,271.0,12.0,-47.97,1075.0
2024-04-01,India Safe Enterprise,141,203.0,90.0,-30.54,56.67
2024-04-01,Gkon Electric Motor Vehicles Pvt Ltd,141,298.0,492.0,-52.68,-71.34
2024-04-01,Booma Innovative Transport Sulutions Pvt Ltd,138,245.0,30.0,-43.67,360.0
2024-04-01,Riband Electric Pvt Ltd,136,182.0,396.0,-25.27,-65.66
2024-04-01,Atul Greentech Private Limited,136,288.0,15.0,-52.78,806.67
2024-04-01,Kyte Energy Pvt. Ltd.,136,208.0,276.0,-34.62,-50.72
2024-04-01,Pari E-Vehicles,136,224.0,444.0,-39.29,-69.37
2024-04-01,Dasmesh Mechanical Works Pvt.Ltd,135,293.0,498.0,-53.92,-72.89
2024-04-01,Evco Automobiles Pvt Ltd,132,88.0,,50.0,
2024-04-01,Urwashi Enterprises,131,199.0,306.0,-34.17,-57.19
2024-04-01,Pmi Electro Mobility Solutions Private Limited,130,404.0,255.0,-67.82,-49.02
2024-04-01,Nhd Motors,130,128.0,219.0,1.56,-40.64
2024-04-01,Ducati India Pvt Ltd,128,221.0,265.0,-42.08,-51.7
2024-04-01,First Choice Electric Vehicles Pvt Ltd,128,320.0,333.0,-60.0,-61.56
2024-04-01,L&T Construction Equipment Limited,127,225.0,373.0,-43.56,-65.95
2024-04-01,Oben Electric Vehicles Pvt Ltd,122,54.0,,125.93,
2024-04-01,Sokudo Electric India Pvt Ltd,121,207.0,36.0,-41.55,236.11
2024-04-01,Shiv Agro Industries,120,144.0,81.0,-16.67,48.15
2024-04-01,Jbm Auto Limited,118,580.0,195.0,-79.66,-39.49
2024-04-01,Citygreen Auto & Petro Chemicals (P) Ltd,118,300.0,742.0,-60.67,-84.1
2024-04-01,Wuxi Tenghui (Importer: Flycon Motors),117,218.0,59.0,-46.33,98.31
2024-04-01,Sun Industries,117,76.0,,53.95,
2024-04-01,Dev Motors,116,16.0,,625.0,
2024-04-01,Sn Solar Energy,116,222.0,85.0,-47.75,36.47
2024-04-01,Venus Auto Wheels Pvt Ltd,114,162.0,462.0,-29.63,-75.32
2024-04-01,Shaktti Constructions Equipment Pvt Ltd,113,210.0,211.0,-46.19,-46.45
2024-04-01,Republic Motors,112,176.0,27.0,-36.36,314.81
2024-04-01,Godrej & Boyce Mfg. Co. Ltd,112,132.0,211.0,-15.15,-46.92
2024-04-01,Tsm Engineering Pvt Ltd,112,188.0,72.0,-40.43,55.56
2024-04-01,R3 Enterprises,111,302.0,348.0,-63.25,-68.1
2024-04-01,Sagar Agro Steel Industries,110,130.0,135.0,-15.38,-18.52
2024-04-01,Wuxi Tenghui (Importer: Hop Electric Mobility),110,190.0,110.0,-42.11,0.0
2024-04-01,Omega Sales & Agro Industries,110,204.0,117.0,-46.08,-5.98
2024-04-01,Diamond E Vehicles,108,190.0,405.0,-43.16,-73.33
2024-04-01,Eco-Friendly Electric Vehicle Pvt Ltd,106,94.0,14.0,12.77,657.14
